GAME_DATE,TEAM_NAME_HOME,TEAM_NAME_AWAY,PTS_HOME,PTS_AWAY,FG_PCT_HOME,FG_PCT_AWAY,HOME_WIN,ROLLING_PTS_HOME,ROLLING_PTS_AWAY,ELO_HOME,ELO_AWAY
2024-12-05,Toronto Raptors,Oklahoma City Thunder,92,129,0.356,0.48,0,117.8,113.6,1446.2680027133833,1592.849172915583
2024-12-05,Golden State Warriors,Houston Rockets,99,93,0.419,0.376,1,115.9,112.1,1553.1746754646467,1572.421244381845
2024-12-05,Washington Wizards,Dallas Mavericks,101,137,0.394,0.539,0,109.8,120.4,1389.161093627228,1547.11761156148
2024-12-05,San Antonio Spurs,Chicago Bulls,124,139,0.463,0.578,0,115.2,118.6,1506.0106445139386,1478.9374883664623
2024-12-05,Cleveland Cavaliers,Denver Nuggets,126,114,0.5,0.479,1,123.6,119.6,1585.301133214169,1520.5535118286525
2024-12-05,Memphis Grizzlies,Sacramento Kings,115,110,0.475,0.398,1,122.3,113.4,1550.1954615499617,1457.5905071819927
2024-12-05,New York Knicks,Charlotte Hornets,125,101,0.539,0.449,1,118.8,108.6,1552.5109664253187,1416.4366666196922
2024-12-06,Boston Celtics,Milwaukee Bucks,111,105,0.46,0.426,1,117.2,107.3,1607.9062803888373,1505.274733683384
2024-12-06,Golden State Warriors,Minnesota Timberwolves,90,107,0.39,0.455,0,114.7,111.2,1563.7280702916494,1502.6466479450678
2024-12-06,Philadelphia 76ers,Orlando Magic,102,94,0.481,0.423,1,105.2,104.8,1425.8751725531258,1560.983942713012
2024-12-06,Chicago Bulls,Indiana Pacers,123,132,0.474,0.565,0,118.6,109.6,1489.7151431114576,1450.7797665179996
2024-12-06,San Antonio Spurs,Sacramento Kings,113,140,0.429,0.567,0,116.3,111.7,1495.2329897689433,1450.1945167756078
2024-12-06,Portland Trail Blazers,Utah Jazz,99,141,0.389,0.552,0,112.3,111.5,1467.8892692697555,1407.1391288216469
2024-12-06,Atlanta Hawks,Los Angeles Lakers,134,132,0.5,0.515,1,117.5,106.9,1507.8869659456477,1494.112051063953
2024-12-07,Charlotte Hornets,Cleveland Cavaliers,102,116,0.43,0.5,0,103.6,121.4,1410.164513253688,1593.458825153972
2024-12-07,Miami Heat,Phoenix Suns,121,111,0.523,0.439,1,112.7,113.7,1508.7425647137838,1518.357717497317
2024-12-07,New Orleans Pelicans,Oklahoma City Thunder,109,119,0.481,0.529,0,109.0,116.3,1399.4053477521015,1598.8639202803165
2024-12-07,New York Knicks,Detroit Pistons,111,120,0.532,0.518,0,120.2,113.8,1558.7831197913229,1454.1473422774366
2024-12-07,Boston Celtics,Memphis Grizzlies,121,127,0.4,0.5,0,116.4,121.5,1615.0353311892077,1557.5914519563466
2024-12-07,Washington Wizards,Denver Nuggets,122,113,0.484,0.484,1,108.6,117.8,1383.4181121175113,1512.3958198888497
2024-12-07,Toronto Raptors,Dallas Mavericks,118,125,0.462,0.469,0,116.4,122.1,1440.2532553486499,1552.8605930711967
2024-12-08,Brooklyn Nets,Milwaukee Bucks,113,118,0.506,0.574,0,109.3,109.4,1471.8228123027918,1498.1456828830137
2024-12-08,LA Clippers,Houston Rockets,106,117,0.446,0.488,0,108.7,110.8,1548.5020761897856,1561.8678495548425
2024-12-08,Chicago Bulls,Philadelphia 76ers,100,108,0.407,0.467,0,121.4,105.2,1478.5991606972384,1439.5790662135794
2024-12-08,Washington Wizards,Memphis Grizzlies,112,140,0.43,0.521,0,109.0,122.2,1396.9687630001267,1569.2299170144458
2024-12-08,Orlando Magic,Phoenix Suns,115,110,0.477,0.47,1,113.5,113.0,1547.2800490525585,1508.0810417843447
2024-12-08,Indiana Pacers,Charlotte Hornets,109,113,0.512,0.513,0,118.5,108.2,1461.8957489322188,1404.999676934946
2024-12-08,San Antonio Spurs,New Orleans Pelicans,121,116,0.452,0.434,1,115.8,97.8,1483.9438910083684,1394.5888991293155
2024-12-08,Los Angeles Lakers,Portland Trail Blazers,107,98,0.458,0.417,1,116.8,103.0,1484.5083173740954,1456.1583440029174
2024-12-08,Golden State Warriors,Minnesota Timberwolves,114,106,0.467,0.456,1,110.5,111.6,1551.987897174546,1514.386821062171
2024-12-08,Sacramento Kings,Utah Jazz,141,97,0.57,0.388,1,115.9,115.4,1461.4836155361827,1418.870054088485
2024-12-08,Miami Heat,Cleveland Cavaliers,122,113,0.477,0.477,1,112.8,119.3,1519.0192404267561,1598.623661472714
2024-12-08,Atlanta Hawks,Denver Nuggets,111,141,0.406,0.629,0,118.4,116.4,1517.4906996355053,1498.8451690062343
2024-12-09,Toronto Raptors,New York Knicks,108,113,0.448,0.512,0,116.7,117.5,1433.385439725868,1545.859327009399
2024-12-10,Milwaukee Bucks,Orlando Magic,114,109,0.545,0.441,1,116.1,105.6,1507.3894960695611,1556.1565738744773
2024-12-10,Oklahoma City Thunder,Dallas Mavericks,118,104,0.455,0.475,1,114.9,122.6,1603.6803689031026,1559.7284086939785
2024-12-11,New York Knicks,Atlanta Hawks,100,108,0.43,0.413,0,119.0,116.3,1552.7306072356685,1506.9545527367225
2024-12-11,Houston Rockets,Golden State Warriors,91,90,0.458,0.44,1,116.3,113.9,1571.4833413358542,1560.9098567971137
2024-12-12,Boston Celtics,Detroit Pistons,123,99,0.511,0.429,1,117.3,115.2,1603.3968661311085,1467.0711350593604
2024-12-12,New Orleans Pelicans,Sacramento Kings,109,111,0.47,0.402,0,107.4,114.4,1387.1054998392322,1470.263212202525
2024-12-12,Miami Heat,Toronto Raptors,114,104,0.482,0.446,1,115.3,107.8,1531.271171317114,1426.5141594995987
2024-12-13,Minnesota Timberwolves,Los Angeles Lakers,97,87,0.402,0.384,1,110.5,107.0,1505.4648614396035,1493.6941457186972
2024-12-13,Cleveland Cavaliers,Washington Wizards,115,105,0.396,0.477,1,124.6,106.8,1586.3717305823561,1391.5568985988878
2024-12-13,Portland Trail Blazers,San Antonio Spurs,116,118,0.512,0.518,0,111.8,106.0,1446.9725156583156,1491.4272902984517
2024-12-13,Memphis Grizzlies,Brooklyn Nets,135,119,0.525,0.457,1,121.6,110.0,1574.6417814156848,1462.5789991162444
2024-12-13,Philadelphia 76ers,Indiana Pacers,107,121,0.435,0.516,0,104.5,111.0,1450.6974565711605,1450.272631705949
2024-12-13,Denver Nuggets,LA Clippers,120,98,0.545,0.446,1,117.9,109.5,1509.3813159050171,1538.8865844087738
2024-12-13,Utah Jazz,Phoenix Suns,126,134,0.558,0.528,0,103.4,112.4,1410.0904574221427,1499.204516962426
2024-12-13,Chicago Bulls,Charlotte Hornets,109,95,0.398,0.357,1,121.2,107.9,1467.4807703396573,1416.6227941612158
2024-12-15,Orlando Magic,New York Knicks,91,100,0.419,0.465,0,113.6,116.0,1544.7620904613148,1541.420637699205
2024-12-15,Indiana Pacers,New Orleans Pelicans,119,104,0.506,0.392,1,118.0,98.8,1460.2848591423772,1379.454289814846
2024-12-15,Los Angeles Lakers,Memphis Grizzlies,116,110,0.476,0.392,1,116.5,123.6,1484.0328045923432,1581.523739867476
2024-12-15,Washington Wizards,Boston Celtics,98,112,0.404,0.43,0,110.0,122.5,1386.6420290928454,1609.6627900880599
2024-12-15,Phoenix Suns,Portland Trail Blazers,116,109,0.483,0.447,1,113.6,103.1,1506.6944127884121,1438.2450898480533
2024-12-15,Golden State Warriors,Dallas Mavericks,133,143,0.476,0.598,0,111.5,121.3,1551.2140922274918,1550.9867424770737
2024-12-15,San Antonio Spurs,Minnesota Timberwolves,92,106,0.407,0.4,0,116.9,110.5,1500.154716108714,1515.1262025659576
2024-12-16,Detroit Pistons,Miami Heat,125,124,0.489,0.455,1,109.2,110.1,1460.805211102409,1538.3441877510204
2024-12-16,LA Clippers,Utah Jazz,144,107,0.598,0.45,1,108.0,114.8,1528.0393901681748,1402.6005615961565
2024-12-16,Toronto Raptors,Chicago Bulls,121,122,0.489,0.462,0,115.0,119.9,1419.4411430656924,1476.0273264938105
2024-12-16,Brooklyn Nets,Cleveland Cavaliers,101,130,0.42,0.531,0,109.1,117.0,1455.6970406644532,1591.2866000883985
2024-12-16,Charlotte Hornets,Philadelphia 76ers,108,121,0.506,0.513,0,103.5,105.3,1408.0762380070626,1440.6852291347323
2024-12-16,Sacramento Kings,Denver Nuggets,129,130,0.48,0.5,0,117.8,116.1,1477.914422226911,1520.2285101456162
2024-12-19,Minnesota Timberwolves,New York Knicks,107,133,0.461,0.515,0,108.8,116.3,1524.6955550657476,1551.5168094755484
2024-12-19,Dallas Mavericks,LA Clippers,95,118,0.395,0.518,0,117.1,108.4,1560.9932861279674,1534.578075166095
2024-12-19,Phoenix Suns,Indiana Pacers,111,120,0.488,0.438,0,114.9,109.7,1514.7493829014115,1467.9994533044799
2024-12-19,Orlando Magic,Oklahoma City Thunder,99,105,0.449,0.482,0,111.1,116.8,1534.6659186849713,1612.4220351200074
2024-12-19,San Antonio Spurs,Atlanta Hawks,133,126,0.485,0.474,1,114.5,114.5,1490.585363608924,1518.264522273186
2024-12-19,Memphis Grizzlies,Golden State Warriors,144,93,0.541,0.356,1,122.0,110.2,1568.7891232540744,1541.2075485765981
2024-12-19,Sacramento Kings,Los Angeles Lakers,100,113,0.451,0.404,0,120.9,105.4,1469.1263335064114,1496.7674212057448
2024-12-19,Boston Celtics,Chicago Bulls,108,117,0.392,0.447,0,118.8,120.9,1614.0008352174698,1484.412894852583
2024-12-19,Toronto Raptors,Brooklyn Nets,94,101,0.395,0.402,0,114.6,111.5,1411.05557470692,1449.4128679854066
2024-12-19,Washington Wizards,Charlotte Hornets,123,114,0.494,0.406,1,108.2,106.4,1382.3039839634355,1399.0120539657414
2024-12-19,Portland Trail Blazers,Denver Nuggets,126,124,0.464,0.54,1,113.1,117.5,1430.190119735054,1529.0165988661158
2024-12-19,Detroit Pistons,Utah Jazz,119,126,0.438,0.47,0,109.9,112.0,1473.0006334763623,1396.0618765982363
2024-12-19,Houston Rockets,New Orleans Pelicans,133,113,0.575,0.446,1,113.3,100.3,1581.179105905476,1371.7396956527434
2024-12-20,Cleveland Cavaliers,Milwaukee Bucks,124,101,0.505,0.471,1,122.5,108.8,1597.570772767445,1518.7839794827237
2024-12-20,Miami Heat,Oklahoma City Thunder,97,104,0.434,0.453,0,116.1,113.6,1526.148765377067,1620.220665009592
2024-12-20,Philadelphia 76ers,Charlotte Hornets,108,98,0.494,0.462,1,105.7,105.8,1449.7494131760534,1388.5315274219852
2024-12-21,Brooklyn Nets,Utah Jazz,94,105,0.404,0.477,0,105.3,114.6,1458.3133199633094,1408.2408497046251
2024-12-21,Milwaukee Bucks,Washington Wizards,112,101,0.449,0.444,1,115.2,105.2,1511.0135587652615,1392.7845105071917
2024-12-21,Minnesota Timberwolves,Golden State Warriors,103,113,0.419,0.46,0,107.6,107.0,1515.4660029368933,1531.9997466224133
2024-12-21,Orlando Magic,Miami Heat,121,114,0.494,0.48,1,109.1,111.1,1526.8672887953867,1518.7920905670198
